                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2653,                 4.6395,                 4.2207,                0.00075,                0.05263,                0.00046,                0.00011,                 2.5654,                 4.8589,                 4.1524,             0.00025722,             0.00025722,             0.00025722
                      2,                 3.2395,                 4.4557,                 4.1603,                 0.0007,                0.05848,                0.00041,                0.00011,                  2.543,                 4.8393,                 4.1201,             0.00052768,             0.00052768,             0.00052768
                      3,                 3.2803,                 4.3095,                  4.075,                0.00119,                0.17251,                 0.0008,                0.00023,                 2.4368,                  4.794,                 4.0025,             0.00079707,             0.00079707,             0.00079707
                      4,                 3.1756,                 4.1981,                  3.979,                0.00095,                0.08187,                0.00059,                0.00015,                 2.5488,                   5.04,                 4.0801,              0.0010654,              0.0010654,              0.0010654
                      5,                 3.1498,                 4.1507,                 3.8473,                0.00087,                0.14327,                0.00081,                0.00019,                 2.5297,                 4.8503,                 4.1641,              0.0013326,              0.0013326,              0.0013326
                      6,                 3.1535,                 4.0156,                  3.751,                0.00337,                0.17544,                0.01604,                0.00367,                 2.4684,                 5.2168,                 3.4054,              0.0014149,              0.0014149,              0.0014149
                      7,                 3.0104,                 3.9027,                 3.6251,                0.00196,                0.41813,                0.00289,                0.00111,                 2.8324,                 5.0094,                 3.7135,               0.001412,               0.001412,               0.001412
                      8,                 2.9836,                 3.8615,                 3.5669,                0.67805,                0.05556,                0.01829,                0.00661,                 2.6413,                 8.2322,                 3.6058,              0.0014092,              0.0014092,              0.0014092
                      9,                 2.9234,                 3.8034,                 3.4542,                0.35964,                0.23977,                0.01505,                0.00576,                 2.6682,                 46.101,                 3.6258,              0.0014064,              0.0014064,              0.0014064
                     10,                 2.8536,                 3.8097,                  3.413,                0.39073,                0.17544,                0.02692,                0.00772,                 2.5515,                 5.2078,                 3.4125,              0.0014035,              0.0014035,              0.0014035
                     11,                 2.7907,                 3.7819,                 3.3234,                0.41656,                0.33041,                0.05292,                0.01584,                 2.5563,                 5.6448,                 3.3246,              0.0014007,              0.0014007,              0.0014007
                     12,                 2.7634,                  3.699,                 3.2749,                 0.0514,                0.12865,                0.01442,                0.00433,                 2.5117,                 4.9706,                 3.2934,              0.0013979,              0.0013979,              0.0013979
                     13,                 2.6082,                 3.5245,                 3.2219,                0.00195,                0.16667,                0.00542,                0.00246,                 2.6505,                 6.7828,                 3.7018,               0.001395,               0.001395,               0.001395
                     14,                 2.6755,                  3.497,                 3.1683,                0.48952,                0.22393,                0.16776,                0.06623,                 2.4918,                 9.7665,                 3.3021,              0.0013922,              0.0013922,              0.0013922
                     15,                 2.6105,                 3.4717,                 3.1081,                0.11953,                0.23099,                0.07744,                 0.0408,                 2.5749,                 6.9142,                   3.45,              0.0013894,              0.0013894,              0.0013894
                     16,                 2.6218,                 3.4996,                 3.1777,                0.71775,                0.22222,                0.18014,                0.13144,                 2.4223,                 9.8687,                  3.278,              0.0013866,              0.0013866,              0.0013866
                     17,                 2.5605,                 3.3956,                 3.0906,                0.37261,                0.31579,                 0.0435,                0.01703,                 2.5647,                 23.839,                 3.4093,              0.0013837,              0.0013837,              0.0013837
                     18,                 2.5309,                 3.4035,                 3.0793,                0.71441,                0.05556,                0.07938,                0.04345,                 2.5452,                 7.2909,                 3.3102,              0.0013809,              0.0013809,              0.0013809
                     19,                 2.5208,                 3.4313,                 3.1053,                0.88033,                0.22222,                0.22025,                0.10791,                 2.5392,                 5.2276,                 3.2944,              0.0013781,              0.0013781,              0.0013781
